Name,Team,Batting_Hand,Bowling_Type,Role,Matches,Innings,Not Outs,Runs,Highest,Average,BF,SR,100,200,50,4,6,Innings_Bowl,Balls,Runs_Given,Wickets,BBI,Economy,B_Average,BSR,5W,10W
Chris Jordan,Punjab Kings,Right,Right-arm fast,BOWLER,20,7,2,32,13,6.4,36,88.89,0,0,0,2,0,20,387,602,21,04-Nov,9.33,28.67,18.43,0,0
Vishnu Vinod,Delhi Capitals,Right,,WICKET KEEPER,3,3,0,19,9,6.33,26,73.08,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Mohammed Shami,Punjab Kings,Right,Right-arm fast,BOWLER,63,19,9,56,21,5.6,56,100,0,0,0,5,2,63,1354,2007,60,Mar-15,8.89,33.45,22.57,0,0
Varun Chakravarthy,Kolkata Knight Riders,Right,Right-arm legbreak,BOWLER,14,3,1,10,7,5,15,66.67,0,0,0,0,0,14,330,391,18,May-20,7.11,21.72,18.33,1,0
Shivam Mavi,Kolkata Knight Riders,Right,Right-arm fast,ALL ROUNDER,17,7,2,23,9,4.6,29,79.31,0,0,0,2,0,17,324,482,14,Feb-15,8.93,34.43,23.14,0,0
Trent Boult,Mumbai Indians,Right,Left-arm fast,BOWLER,48,6,3,12,6,4,15,80,0,0,0,0,1,48,1109,1577,63,Apr-18,8.53,25.03,17.6,0,0
Kartik Tyagi,Rajasthan Royals,Right,Right-arm fast,BOWLER,10,3,2,4,2,4,6,66.67,0,0,0,0,0,10,229,367,9,Feb-36,9.62,40.78,25.44,0,0
Mujeeb Ur Rahman,Sunrisers Hyderabad,Right,Right-arm offbreak,BOWLER,18,6,3,11,10,3.67,14,78.57,0,0,0,2,0,18,410,563,17,Mar-27,8.24,33.12,24.12,0,0
Yuzvendra Chahal,Royal Challengers Bangalore,Right,Right-arm legbreak,BOWLER,99,16,10,22,4,3.67,51,43.14,0,0,0,0,0,98,2130,2723,121,Apr-25,7.67,22.5,17.6,0,0
Adam Milne,Mumbai Indians,Right,Right-arm fast,BOWLER,5,3,1,7,5,3.5,12,58.33,0,0,0,0,0,5,108,177,4,Feb-27,9.83,44.25,27,0,0
Shahbaz Nadeem,Sunrisers Hyderabad,Right,Left-arm orthodox,BOWLER,71,21,8,39,6,3,86,45.35,0,0,0,2,0,69,1391,1748,47,Mar-16,7.54,37.19,29.6,0,0
Jayant Yadav,Mumbai Indians,Right,Right-arm offbreak,BOWLER,14,2,0,6,5,3,10,60,0,0,0,0,0,14,264,289,6,01-Aug,6.57,48.17,44,0,0
Siddarth Kaul,Sunrisers Hyderabad,Right,Right-arm fast,BOWLER,46,10,6,12,7,3,28,42.86,0,0,0,0,0,46,1005,1449,51,Apr-29,8.65,28.41,19.71,0,0
Prasidh Krishna,Kolkata Knight Riders,Right,Right-arm medium,BOWLER,24,5,4,3,2,3,11,27.27,0,0,0,0,0,24,515,801,18,Apr-30,9.33,44.5,28.61,0,0
